Order ID,Date,Product,Category,Quantity,Price,Total Sales
1,2023-05-21,Desk Chair,Furniture,2,120,240
2,2023-02-23,Desk Chair,Furniture,4,120,480
3,2023-01-28,Backpack,Accessories,8,40,320
4,2023-11-15,Desk Chair,Furniture,10,120,1200
5,2023-08-12,Monitor,Electronics,2,200,400
6,2023-09-25,Smartphone,Electronics,6,600,3600
7,2023-12-17,Coffee Maker,Appliances,8,90,720
8,2023-12-29,Laptop,Electronics,4,800,3200
9,2023-04-07,Tablet,Electronics,10,300,3000
10,2023-12-12,Coffee Maker,Appliances,2,90,180
11,2023-01-23,Monitor,Electronics,5,200,1000
12,2023-06-21,Smartphone,Electronics,4,600,2400
13,2023-07-02,Headphones,Accessories,8,50,400
14,2023-08-14,Coffee Maker,Appliances,9,90,810
15,2023-08-21,Tablet,Electronics,5,300,1500
16,2023-02-03,Office Desk,Furniture,1,250,250
17,2023-02-15,Headphones,Accessories,3,50,150
18,2023-02-08,Office Desk,Furniture,8,250,2000
19,2023-11-13,Smartphone,Electronics,8,600,4800
20,2023-05-26,Backpack,Accessories,8,40,320
21,2023-07-28,Desk Chair,Furniture,5,120,600
22,2023-07-26,Desk Chair,Furniture,3,120,360
23,2023-02-12,Backpack,Accessories,3,40,120
24,2023-12-02,Headphones,Accessories,9,50,450
25,2023-05-16,Laptop,Electronics,3,800,2400
26,2023-08-09,Coffee Maker,Appliances,9,90,810
27,2023-02-20,Desk Chair,Furniture,5,120,600
28,2023-11-22,Office Desk,Furniture,3,250,750
29,2023-01-03,Wireless Mouse,Accessories,3,30,90
30,2023-04-09,Monitor,Electronics,6,200,1200
31,2023-07-17,Coffee Maker,Appliances,6,90,540
32,2023-10-20,Office Desk,Furniture,3,250,750
33,2023-01-16,Desk Chair,Furniture,4,120,480
34,2023-12-03,Headphones,Accessories,5,50,250
35,2023-04-22,Coffee Maker,Appliances,3,90,270
36,2023-05-23,Tablet,Electronics,10,300,3000
37,2023-06-30,Monitor,Electronics,1,200,200
38,2023-02-04,Monitor,Electronics,9,200,1800
39,2023-08-01,Headphones,Accessories,3,50,150
40,2023-11-11,Monitor,Electronics,8,200,1600
41,2023-11-27,Tablet,Electronics,10,300,3000
42,2023-01-30,Coffee Maker,Appliances,6,90,540
43,2023-08-29,Office Desk,Furniture,2,250,500
44,2023-05-13,Coffee Maker,Appliances,3,90,270
45,2023-05-30,Office Desk,Furniture,1,250,250
46,2023-11-22,Laptop,Electronics,7,800,5600
47,2023-10-26,Coffee Maker,Appliances,8,90,720
48,2023-12-11,Smartphone,Electronics,9,600,5400
49,2023-05-01,Headphones,Accessories,2,50,100
50,2023-01-21,Monitor,Electronics,7,200,1400
51,2023-04-03,Laptop,Electronics,4,800,3200
52,2023-12-13,Coffee Maker,Appliances,9,90,810
53,2023-04-13,Office Desk,Furniture,5,250,1250
54,2023-07-12,Backpack,Accessories,3,40,120
55,2023-05-15,Office Desk,Furniture,4,250,1000
56,2023-06-15,Desk Chair,Furniture,10,120,1200
57,2023-06-20,Tablet,Electronics,4,300,1200
58,2023-12-16,Headphones,Accessories,9,50,450
59,2023-10-03,Headphones,Accessories,8,50,400
60,2023-02-01,Laptop,Electronics,8,800,6400
61,2023-12-14,Office Desk,Furniture,8,250,2000
62,2023-05-29,Backpack,Accessories,6,40,240
63,2023-11-21,Laptop,Electronics,10,800,8000
64,2023-10-09,Laptop,Electronics,9,800,7200
65,2023-02-21,Monitor,Electronics,1,200,200
66,2023-06-23,Headphones,Accessories,7,50,350
67,2023-08-31,Wireless Mouse,Accessories,6,30,180
68,2023-03-05,Tablet,Electronics,8,300,2400
69,2023-06-12,Coffee Maker,Appliances,6,90,540
70,2023-10-28,Desk Chair,Furniture,9,120,1080
71,2023-04-25,Backpack,Accessories,10,40,400
72,2023-01-17,Laptop,Electronics,7,800,5600
73,2023-11-07,Wireless Mouse,Accessories,1,30,30
74,2023-12-08,Smartphone,Electronics,6,600,3600
75,2023-06-01,Laptop,Electronics,4,800,3200
76,2023-10-20,Wireless Mouse,Accessories,6,30,180
77,2023-10-25,Backpack,Accessories,3,40,120
78,2023-04-29,Smartphone,Electronics,1,600,600
79,2023-12-17,Wireless Mouse,Accessories,4,30,120
80,2023-12-05,Office Desk,Furniture,4,250,1000
81,2023-07-25,Desk Chair,Furniture,9,120,1080
82,2023-12-01,Smartphone,Electronics,9,600,5400
83,2023-07-04,Office Desk,Furniture,1,250,250
84,2023-02-16,Coffee Maker,Appliances,7,90,630
85,2023-04-14,Monitor,Electronics,8,200,1600
86,2023-09-08,Headphones,Accessories,7,50,350
87,2023-10-18,Tablet,Electronics,7,300,2100
88,2023-01-08,Tablet,Electronics,5,300,1500
89,2023-04-07,Laptop,Electronics,10,800,8000
90,2023-12-24,Office Desk,Furniture,6,250,1500
91,2023-08-14,Monitor,Electronics,5,200,1000
92,2023-06-17,Laptop,Electronics,7,800,5600
93,2023-01-14,Desk Chair,Furniture,1,120,120
94,2023-10-06,Desk Chair,Furniture,10,120,1200
95,2023-05-09,Monitor,Electronics,10,200,2000
96,2023-02-06,Backpack,Accessories,1,40,40
97,2023-11-12,Headphones,Accessories,3,50,150
98,2023-02-18,Headphones,Accessories,10,50,500
99,2023-08-20,Coffee Maker,Appliances,6,90,540
100,2023-12-16,Backpack,Accessories,1,40,40
101,2023-05-01,Office Desk,Furniture,1,250,250
102,2023-12-28,Laptop,Electronics,1,800,800
103,2023-06-14,Wireless Mouse,Accessories,7,30,210
104,2023-05-21,Laptop,Electronics,6,800,4800
105,2023-10-26,Wireless Mouse,Accessories,2,30,60
106,2023-02-17,Tablet,Electronics,2,300,600
107,2023-11-05,Monitor,Electronics,6,200,1200
108,2023-01-12,Wireless Mouse,Accessories,10,30,300
109,2023-04-28,Desk Chair,Furniture,8,120,960
110,2023-11-08,Office Desk,Furniture,7,250,1750
111,2024-01-01,Monitor,Electronics,6,200,1200
112,2023-04-08,Laptop,Electronics,2,800,1600
113,2023-09-15,Wireless Mouse,Accessories,8,30,240
114,2023-07-02,Smartphone,Electronics,8,600,4800
115,2023-08-23,Tablet,Electronics,10,300,3000
116,2023-05-30,Smartphone,Electronics,6,600,3600
117,2023-03-11,Monitor,Electronics,5,200,1000
118,2023-08-10,Smartphone,Electronics,4,600,2400
119,2023-03-25,Wireless Mouse,Accessories,5,30,150
120,2023-08-07,Smartphone,Electronics,9,600,5400
121,2023-12-11,Desk Chair,Furniture,10,120,1200
122,2023-07-04,Monitor,Electronics,9,200,1800
123,2023-11-08,Tablet,Electronics,9,300,2700
124,2023-11-20,Headphones,Accessories,9,50,450
125,2023-08-09,Office Desk,Furniture,9,250,2250
126,2023-10-05,Coffee Maker,Appliances,5,90,450
127,2023-12-06,Desk Chair,Furniture,7,120,840
128,2023-04-06,Coffee Maker,Appliances,7,90,630
129,2023-05-06,Smartphone,Electronics,8,600,4800
130,2023-01-03,Coffee Maker,Appliances,4,90,360
131,2023-09-15,Wireless Mouse,Accessories,4,30,120
132,2023-08-23,Desk Chair,Furniture,8,120,960
133,2023-05-31,Coffee Maker,Appliances,5,90,450
134,2023-08-13,Tablet,Electronics,3,300,900
135,2023-10-14,Smartphone,Electronics,9,600,5400
136,2023-07-31,Laptop,Electronics,3,800,2400
137,2023-08-16,Coffee Maker,Appliances,10,90,900
138,2023-08-08,Smartphone,Electronics,5,600,3000
139,2023-10-11,Tablet,Electronics,8,300,2400
